Latitude,Longitude
34.6789,-81.6396
35.0113,-80.5626
40.6656,-74.2739
34.4823,-89.0178
39.6256,-84.925
37.4654,-89.2571
41.8791,-74.2028
30.7932,-94.3877
33.3076,-87.5001
36.1403,-96.0299
36.2683,-118.8232
41.3199,-80.7604
33.0462,-85.0417
31.1046,-95.1246
40.6758,-123.1435
36.8204,-87.9047
32.4032,-82.5473
44.2856,-91.3478
38.9139,-99.8731
46.1715,-107.2369
30.3252,-97.7773
40.4924,-113.1134
42.4439,-76.4727
31.3893,-100.4023
41.8121,-72.3192
34.7299,-88.2243
40.3095,-86.0521
40.3925,-86.8937
31.4588,-83.5179
46.9724,-122.8948
30.8684,-83.9073
37.3295,-91.9496
29.4352,-90.8383
40.1258,-122.2124
37.1358,-81.6058
40.5355,-89.5459
32.3045,-99.8901
34.6634,-89.9441
32.7708,-97.2917
36.5058,-105.6413
30.6427,-90.4062
36.6632,-93.0397
42.0847,-92.533
32.8004,-85.7978
33.9322,-90.1881
33.402,-86.1457
33.5857,-82.857
38.8084,-85.0112
34.535,-101.7351
41.6405,-108.9887
30.163,-83.0132
41.1285,-74.6997
36.4,-80.7065
32.6525,-88.2171
36.4488,-86.4726
40.9014,-110.7554
41.1313,-81.5397
36.5041,-82.3115
41.7194,-74.7908
43.3649,-72.2372
40.2195,-93.1111
39.0809,-87.4202
36.7317,-76.6221
40.9086,-72.9176
42.301,-71.0926
43.3285,-71.0587
33.1802,-100.2535
30.785,-89.113
48.3997,-117.8489
42.2995,-77.4184
41.6431,-85.0003
31.8222,-101.0451
42.3498,-89.6607
32.7377,-98.836
34.4846,-97.8509
47.4605,-97.7296
44.0223,-93.2259
45.5294,-94.6407
41.298,-86.6191
35.323,-80.2478
37.6113,-120.8765
38.4174,-77.4766
30.4367,-89.9641
29.7168,-91.3717
27.3823,-80.4869
38.6529,-90.241
38.6443,-90.5089
47.6532,-92.4287
44.5333,-75.1606
41.9159,-85.5264
41.5981,-86.2736
29.9382,-81.4423
30.091,-90.543
30.0233,-90.8217
37.86,-90.5396
38.0293,-93.7825
38.439,-89.9328
33.6907,-86.3647
38.7506,-90.7313
29.8864,-90.3903
38.1861,-77.6566
47.6423,-117.4305
37.9945,-87.0107
34.8864,-81.9815
36.7705,-77.0963
38.4826,-122.8587
40.0088,-79.0398
40.5669,-74.6246
45.5842,-70.1228
38.29,-121.9027
34.0443,-106.8211
48.0379,-121.682
36.823,-81.5102
32.4125,-95.2456
36.2544,-85.9737
32.0031,-89.4883
48.4771,-121.7638
31.9015,-89.9078
39.5877,-120.5103
47.5044,-116.0148
44.7798,-106.9037
38.8538,-78.5869
31.7749,-94.127
35.2037,-89.8653
39.7834,-92.0688
39.5242,-85.7912
39.4274,-88.7479
33.2829,-86.6796
40.7366,-122.0189
37.1531,-91.3443
35.4655,-94.7664
41.1246,-83.1279
42.7838,-76.8577
37.6926,-97.4802
35.1908,-94.2342
35.9134,-92.6797
32.7541,-100.9166
32.4277,-89.5348
44.6795,-93.5028
41.6065,-90.62
38.6962,-85.7482
39.655,-90.4782
40.4469,-92.1481
38.7957,-82.9618
40.7235,-76.1529
42.3922,-76.8958
40.4709,-92.5271
40.1317,-90.6279
42.5925,-74.4362
42.8329,-74.0442
43.3945,-89.8965
41.0929,-96.1005
43.0872,-73.8458
30.6713,-87.0296
35.5163,-105.9833
37.0686,-122.0334
37.1901,-121.7207
34.7446,-120.0357
39.7498,-89.7053
47.6957,-115.1536
31.2064,-98.8303
37.4084,-122.3109
35.3474,-120.336
36.5045,-108.3355
37.8911,-121.2517
37.7591,-122.4461
33.0185,-116.6934
34.8464,-116.1156
36.5945,-121.0306
31.377,-94.1756
34.9352,-78.3612
40.6684,-111.9031
39.1699,-93.1932
37.754,-88.5405
39.5844,-75.3039
43.3527,-84.034
43.9346,-69.7952
38.3836,-121.2729
43.576,-73.0283
35.8599,-86.3934
35.3967,-81.9147
32.2863,-85.1791
32.1261,-94.7873
39.6214,-85.4664
31.839,-99.9766
35.6834,-80.5507
39.3416,-83.0653
46.0242,-106.5653
48.7711,-95.7474
32.8972,-96.4077
41.1589,-74.0653
38.5292,-78.9401
36.3943,-79.7777
43.0068,-71.068
33.6557,-84.012
41.5548,-90.3036
42.6692,-89.072
34.6272,-79.1436
31.0267,-96.5129
37.2655,-80.1509
33.754,-116.0203
39.199,-81.0842
36.663,-90.8575
39.112,-85.2718
39.9282,-108.1848
36.4672,-106.7823
39.3056,-96.8015
37.5241,-77.4608
37.9603,-76.7345
40.5726,-74.1446
33.3856,-82.0915
43.3664,-90.4289
34.0064,-80.8509
47.7521,-104.6391
32.4099,-91.734
37.3418,-90.9633
42.713,-73.4898
28.3093,-97.1471
31.3853,-103.6537
44.4497,-95.2299
33.6418,-95.0283
32.062,-93.319
39.3318,-93.9855
46.0635,-114.1304
31.2026,-92.5312
32.3185,-89.9417
38.7548,-79.8266
40.1599,-85.0115
38.0133,-89.8253
33.3006,-85.4599
37.7493,-81.1743
32.8458,-95.8013
42.7271,-88.0428
34.2959,-90.2919
40.7043,-73.8196
39.0575,-75.9714
35.1756,-103.5469
36.1421,-85.458
41.4237,-73.7555
40.4661,-93.0345
39.6666,-86.8498
41.2193,-89.3147
29.6056,-81.8327
37.8222,-92.2172
34.7548,-92.3139
41.8677,-71.5657
